index,shape-type,vertex-index,axis-0,axis-1,axis-2
0,rectangle,0,0.0,1041.9997132800002,255.00003327999997
0,rectangle,1,0.0,1054.99971072,255.00003327999997
0,rectangle,2,0.0,1054.99971072,264.00003072
0,rectangle,3,0.0,1041.9997132800002,264.00003072
1,rectangle,0,0.0,17.00003328,257.00005888
1,rectangle,1,0.0,30.00003072,257.00005888
1,rectangle,2,0.0,30.00003072,269.00006912000003
1,rectangle,3,0.0,17.00003328,269.00006912000003
2,rectangle,0,0.0,326.99988479999996,1259.00077056
2,rectangle,1,0.0,348.9998592,1259.00077056
2,rectangle,2,0.0,348.9998592,1277.0007654400001
2,rectangle,3,0.0,326.99988479999996,1277.0007654400001
3,rectangle,0,0.0,186.99978240000004,1032.99987456
3,rectangle,1,0.0,202.99983360000002,1032.99987456
3,rectangle,2,0.0,202.99983360000002,1050.99986944
3,rectangle,3,0.0,186.99978240000004,1050.99986944
4,rectangle,0,0.0,1219.9997184000001,1024.99981312
4,rectangle,1,0.0,1235.9997696000003,1024.99981312
4,rectangle,2,0.0,1235.9997696000003,1044.99980288
4,rectangle,3,0.0,1219.9997184000001,1044.99980288
5,rectangle,0,0.0,1147.0006732800002,1117.0000281599998
5,rectangle,1,0.0,1160.00067072,1117.0000281599998
5,rectangle,2,0.0,1160.00067072,1130.00003584
5,rectangle,3,0.0,1147.0006732800002,1130.00003584
6,rectangle,0,0.0,1045.0000896000001,83.0000128
6,rectangle,1,0.0,1065.0000384,83.0000128
6,rectangle,2,0.0,1065.0000384,99.0000128
6,rectangle,3,0.0,1045.0000896000001,99.0000128
7,rectangle,0,0.0,732.0001535999999,1206.00057856
7,rectangle,1,0.0,752.0001024,1206.00057856
7,rectangle,2,0.0,752.0001024,1224.00057344
7,rectangle,3,0.0,732.0001535999999,1224.00057344
8,rectangle,0,0.0,1417.00035072,1895.99926272
8,rectangle,1,0.0,1428.0003532800001,1895.99926272
8,rectangle,2,0.0,1428.0003532800001,1910.9992652800001
8,rectangle,3,0.0,1417.00035072,1910.9992652800001
9,rectangle,0,0.0,1348.99935744,380.00089088
9,rectangle,1,0.0,1358.99936256,380.00089088
9,rectangle,2,0.0,1358.99936256,392.00090112000004
9,rectangle,3,0.0,1348.99935744,392.00090112000004
10,rectangle,0,0.0,946.9997721599999,297.99929856
10,rectangle,1,0.0,955.9997798399999,297.99929856
10,rectangle,2,0.0,955.9997798399999,315.99929344000003
10,rectangle,3,0.0,946.9997721599999,315.99929344000003
11,rectangle,0,0.0,787.0007347200001,504.00054272
11,rectangle,1,0.0,798.0007372800001,504.00054272
11,rectangle,2,0.0,798.0007372800001,511.00054528
11,rectangle,3,0.0,787.0007347200001,511.00054528
12,rectangle,0,0.0,228.0,9.999994880000001
12,rectangle,1,0.0,252.0,9.999994880000001
12,rectangle,2,0.0,252.0,23.00000256
12,rectangle,3,0.0,228.0,23.00000256
13,rectangle,0,0.0,1340.00060928,272.000512
13,rectangle,1,0.0,1353.0006067199997,272.000512
13,rectangle,2,0.0,1353.0006067199997,288.000512
13,rectangle,3,0.0,1340.00060928,288.000512
14,rectangle,0,0.0,712.9998336,681.000448
14,rectangle,1,0.0,732.9997824000001,681.000448
14,rectangle,2,0.0,732.9997824000001,697.000448
14,rectangle,3,0.0,712.9998336,697.000448
15,rectangle,0,0.0,37.0000128,1061.00013056
15,rectangle,1,0.0,53.000064,1061.00013056
15,rectangle,2,0.0,53.000064,1079.00012544
15,rectangle,3,0.0,37.0000128,1079.00012544
16,rectangle,0,0.0,1351.0004736,1956.99922944
16,rectangle,1,0.0,1369.0005504,1956.99922944
