index,shape-type,vertex-index,axis-0,axis-1,axis-2
0,polygon,0,0.0,8.465045705007896,171.14390009701862
0,polygon,1,0.0,11.947505352212312,312.18351580879744
0,polygon,2,0.0,130.35113335716247,601.227666526764
0,polygon,3,0.0,401.98298583910696,862.4121400670953
0,polygon,4,0.0,727.5929628527199,1238.5177819651722
0,polygon,5,0.0,1100.2161451035925,1478.807497622277
0,polygon,6,0.0,1323.093562524675,1506.6671747999121
0,polygon,7,0.0,1438.0147308824207,1454.4302800918458
0,polygon,8,0.0,1500.6990045321002,1348.2152608521114
0,polygon,9,0.0,1460.6507185892494,1076.583408370167
0,polygon,10,0.0,1295.2338853470396,735.302362944134
0,polygon,11,0.0,1041.0143311011173,340.0431929864328
0,polygon,12,0.0,833.8079820924546,162.4377509790076
0,polygon,13,0.0,83.33792811990284,120.6482352125546
1,polygon,0,1.0,1157.6767292824652,728.3374436497253
1,polygon,1,1.0,83.33792811990284,1276.8248380844207
1,polygon,2,1.0,17.171194823018936,1447.4653607974374
1,polygon,3,1.0,987.0362065694488,1651.1892501588954
1,polygon,4,1.0,1431.0498115880118,1412.6407643253929
1,polygon,5,1.0,1490.251625590487,1052.2061908397359
1,polygon,6,1.0,1401.4489045867745,771.8681892397805
2,polygon,0,2.0,562.1761296105101,30.104284385239794
2,polygon,1,2.0,1093.2512258091836,507.20125605224484
2,polygon,2,2.0,1276.0803572874154,1219.3642539055481
2,polygon,3,2.0,960.9177592154158,1355.1801801465203
2,polygon,4,2.0,600.4831857297587,1205.4344153167303
2,polygon,5,2.0,374.12330866147164,980.8157680720454
2,polygon,6,2.0,140.79851229877573,477.60034905100724
2,polygon,7,2.0,41.54841235344985,246.01678251191356
2,polygon,8,2.0,8.465045705007896,56.22273173927289
2,polygon,9,2.0,65.92562988388076,23.13936509083095
3,polygon,0,3.0,1194.2425555781117,749.2322015329518
3,polygon,1,3.0,793.7596961496038,883.3068979503217
3,polygon,2,3.0,48.513331647858685,1459.6539695626525
3,polygon,3,3.0,6.723815881405691,1497.961025681901
3,polygon,4,3.0,10.206275528610107,1670.34277821852
3,polygon,5,3.0,241.7898420677038,1785.2639465762659
3,polygon,6,3.0,555.2112103161013,1726.0621325737907
3,polygon,7,3.0,1115.8872135160123,1499.7022555055032
3,polygon,8,3.0,1352.6944695259126,1174.0922784918903
3,polygon,9,3.0,1321.3523327010728,829.3287734186532
4,polygon,0,4.0,20.65365447022335,98.0122475057259
4,polygon,1,4.0,382.82945777948265,150.24914221379214
4,polygon,2,4.0,419.39528407512904,193.77988780384737
4,polygon,3,4.0,913.9045539781562,256.4641614535268
4,polygon,4,4.0,1155.935499458863,411.43361575412337
4,polygon,5,4.0,1277.8215871110176,594.2627472323552
4,polygon,6,4.0,1363.1418484675257,888.5305874211284
4,polygon,7,4.0,1417.1199729991943,1327.3205029688847
4,polygon,8,4.0,1380.554146703548,1443.982901150233
4,polygon,9,4.0,1215.1373134613382,1489.2548765638903
4,polygon,10,4.0,1049.7204802191284,1369.1100187353377
4,polygon,11,4.0,706.6982049694934,885.048127773924
4,polygon,12,4.0,128.60990353356027,319.14843510320634
5,polygon,0,5.0,15.42996499941673,1840.9833009315362
5,polygon,1,5.0,489.04447701921737,1908.8912640520225
5,polygon,2,5.0,680.5797576154603,1887.9965061687958
5,polygon,3,5.0,691.0271365570735,1849.6894500495473
5,polygon,4,5.0,1018.3783433942887,1699.9436852197573
5,polygon,5,5.0,1366.6243081147302,1334.2854222632936
5,polygon,6,5.0,1474.5805571780672,1053.947420663338
5,polygon,7,5.0,1401.4489045867745,803.2103260646201
5,polygon,8,5.0,1251.7031397569845,771.8681892397805
5,polygon,9,5.0,248.75476136211262,1538.0093116247522
5,polygon,10,5.0,57.219480765869726,1739.9919711626085
